"","ScientificName","Longitude.X","Latitude.Y"
"16825","Hyalomma truncatum",35.71666667,-1.866666667
"16826","Hyalomma truncatum",35.41666667,-1.083333333
"16827","Hyalomma truncatum",36.81666667,-0.2
"16828","Hyalomma truncatum",37.48333333,-2.533333333
"16829","Hyalomma truncatum",37.5,-2.933333333
"16830","Hyalomma truncatum",35.65,2.383333333
"16831","Hyalomma truncatum",36.43333333,-0.866666667
"16832","Hyalomma truncatum",35.96666667,1.733333333
"16833","Hyalomma truncatum",36.28333333,-1.9
"16834","Hyalomma truncatum",40.53333333,-2.383333333
"16835","Hyalomma truncatum",41.86666667,3.933333333
"16836","Hyalomma truncatum",36.86666667,-1.216666667
"16837","Hyalomma truncatum",36.7,1.1
"16838","Hyalomma truncatum",37.98333333,2.333333333
"16839","Hyalomma truncatum",37.55,-2.366666667
"16840","Hyalomma truncatum",36.45,-2.366666667
"16841","Hyalomma truncatum",40.85,-2.233333333
"16842","Hyalomma truncatum",37.36666667,-1.05
"16843","Hyalomma truncatum",36.1,-1.5
"16844","Hyalomma truncatum",39.05,3.533333333
"16845","Hyalomma truncatum",36.9,-0.316666667
"16846","Hyalomma truncatum",36.36666667,0.033333333
"16847","Hyalomma truncatum",36.43333333,-0.716666667
"16848","Hyalomma truncatum",35.56666667,-1.283333333
"16849","Hyalomma truncatum",37.06666667,0.016666667
"16850","Hyalomma truncatum",36.93333333,0.35
"16851","Hyalomma truncatum",35,1.016666667
"16852","Hyalomma truncatum",37.36666667,0.25
"16853","Hyalomma truncatum",35.51666667,-1.016666667
"16854","Hyalomma truncatum",37.06666667,-3.316666667
"16855","Hyalomma truncatum",35.85,-0.166666667
"16856","Hyalomma truncatum",36.53333333,0.266666667
"16857","Hyalomma truncatum",35.56666667,1.566666667
"16858","Hyalomma truncatum",36.96666667,-0.266666667
"16859","Hyalomma truncatum",35.15,0.666666667
"16860","Hyalomma truncatum",35.28333333,0.95
"16861","Hyalomma truncatum",37,-1.583333333
"16862","Hyalomma truncatum",36.28333333,0.8
"16863","Hyalomma truncatum",37.08333333,-1.05
"16864","Hyalomma truncatum",37.23333333,0.083333333
"16865","Hyalomma truncatum",35.05,0.633333333
"16866","Hyalomma truncatum",40.06666667,1.75
"16867","Hyalomma truncatum",37.31666667,0.983333333
"16868","Hyalomma truncatum",33.73333333,-12.75
"16869","Hyalomma truncatum",33.98333333,-13.68333333
"16870","Hyalomma truncatum",32.01666667,-13.68333333
"16871","Hyalomma truncatum",33.98333333,-13.68333333
"16872","Hyalomma truncatum",32.5,-11.5
"16873","Hyalomma truncatum",33.6,-11.9
"16874","Hyalomma truncatum",33.3866,-11.293
"16875","Hyalomma truncatum",33.4667,-11.7578
"16876","Hyalomma truncatum",33.475,-11.909
"16877","Hyalomma truncatum",33.3126,-12.056
"16878","Hyalomma truncatum",33.3849,-12.2138
"16879","Hyalomma truncatum",33.5447,-12.4324
"16880","Hyalomma truncatum",33.3066,-12.9713
"16881","Hyalomma truncatum",33.7905,-13.1888
"16882","Hyalomma truncatum",33.6344,-13.35
"16883","Hyalomma truncatum",33.7148,-13.4167
"16884","Hyalomma truncatum",33.6383,-13.8008
"16885","Hyalomma truncatum",33.7132,-13.1197
"16886","Hyalomma truncatum",33.9549,-13.8834
"16887","Hyalomma truncatum",34.2123,-14.0478
